published,title,category
2012,On the Hamming Distance between base-n representations of whole numbers,cs.DM
2012,Conservation relations for local theta correspondence,math.RT
2012,Classifying Finitely Generated Indecomposable RA Loops,math.RA
2012,On Lie and associative algebras containing inner derivations,math.RA
2012,"Decision at the beam-splitter, or decision at detection, that is the
  question",quant-ph
2012,Blocking Sets of Index Three,math.CO
2012,"Linear independence of time-frequency translates of functions with
  faster than exponential decay",math.FA
2012,Fusion systems on bicyclic 2-groups,math.GR
2012,"On order structure of the set of one-point Tychonoff extensions of a
  locally compact space",math.GN
2012,"Coordinates of R[x,y]: Constructions and classifications",math.RA
2012,An all-optical event horizon in an optical analogue of a Laval nozzle,physics.optics
2012,"""Two betting strategies that predict all compressible sequences""
  presentation",cs.CC
2012,"A generalization of the Barban-Davenport-Halberstam Theorem to number
  fields",math.NT
2012,Symmetries in discrete time quantum walks on Cayley graphs,quant-ph
2012,Exact kink solitons in a monopole confinement problem,math-ph
2012,Graph Odometry,math.CO
2012,Poisson and Compound Poisson Approximations in a Nonconventional Setup,math.PR
2012,Game Dynamics and Nash Equilibria,cs.GT
2012,A note on resolution quivers,math.RT
2012,Polynomial functions of degree 20 which are APN infinitely often,cs.IT
2012,"On a problem with conditions on all boundary for a pseudoparabolic
  equation",math.AP
2013,A pathological random perturbation of the Cat Map,math.DS
2013,Slim unicorns and uniform hyperbolicity for arc graphs and curve graphs,math.GT
2013,The many surprises of maximal supergravity,hep-th
2013,"Design of an all-fiber broadband mid-IR source through wavelength
  translation",physics.optics
2013,"On the abelian groups which occur as Galois cohomology groups of global
  unit groups",math.NT
2013,Two-term partial tilting complexes over Brauer tree algebras,math.RT
2013,Almost commensurability of 3-dimensional Anosov flows,math.GT
2013,Analysis of the heat kernel of the Dirichlet-to-Neumann operator,math.AP
2013,Strong Completeness and Faithfulness in Bayesian Networks,cs.AI
2013,A new class of spaces with all finite powers Lindelof,math.GN
2013,The Schottky problem in genus five,math.AG
2013,One-loop contributions in the EFT for the $ΛN \to NN$ transition,nucl-th
2013,"A short proof that all linear codes are weakly algebraic-geometric using
  Bertini theorems of B. Poonen",cs.IT
2013,How to find G-admissible abelian coverings of a graph?,math.CO
2013,Solution Theory for Systems of Bilinear Equations,math.RA
2013,On taut singularities in arbitrary characteristics,math.AG
2013,"The classification of compact simply connected biquotients in dimension
  4 and 5",math.DG
2013,Quotients of Gaussian primes,math.NT
2013,"Twists and resonance of L-functions, I",math.NT
2013,Non-simple genus minimizers in lens spaces,math.GT
2013,"The norm of the $k$-th derivative of the $χ$-symmetric power of an
  operator",math.FA
2013,The Wiener and Terminal Wiener indices of trees,math.CO
2013,"Coinvariant algebras and fake degrees for spin Weyl groups of
  exceptional type",math.RT
2013,"Modeling a repository of modules for ports Terminals Operating System
  (TOS)",cs.SE
2013,"Comment on ""A short impossibility proof of quantum bit commitment""",quant-ph
2013,"Invertible extensions of symmetric operators and the corresponding
  generalized resolvents",math.FA
2013,Primality test for numbers of the form $(2p)^{2^n}+1$,math.NT
2013,"An elementary proof for that all unoriented spanning surfaces of a link
  are related by attaching/deleting tubes and Möbius bands",math.GT
2013,"Uniqueness of extremizers for an endpoint inequality of the $k$-plane
  transform",math.CA
2013,Quasi-affine Nichols (Lie braided) Algebras with Rank $ 4$,math.QA
2013,Solvable Leibniz Algebras with Heisenberg Nilradical,math.RA
2013,The Minimum Spectral Radius of Graphs with the Independence Number,math.CO
2013,GL(n) equivariant Minkowski valuations,math.MG
2013,Quasiconformal maps on model Filiform groups,math.CV
2013,"Eigenvalue of Fricke involution on newforms of level 4 and of trivial
  character",math.NT
2013,"Five dimensional almost para-cosymplectic manifolds with contact Ricci
  potential",math.DG
2013,Homologies are infinitely complex,math.AT
2013,Bounded rank-one transformations,math.DS
2013,Structured mapping problems for linearly structured matrices,math.NA
2013,Maps preserving the spectrum of certain products of operators,math.FA
2013,Restricting unipotent characters in special orthogonal groups,math.RT
2013,"Enumeration for the total number of all spanning forests of complete
  tripartite graph based on the combinatorial decomposition",math.CO
2013,A tracial Nullstellensatz,math.RA
2013,A universal deviation inequality for random polytopes,math.ST
2013,On annulus containing all the zeros of a polynomial,math.CV
2013,Universal Quantum Graphs,math-ph
2014,A possible definition of a {\it Realistic} Physics Theory,quant-ph
2014,Equations in nilpotent groups,math.GR
2014,"On algebraic independence of certain multizeta values in characteristic
  p",math.NT
2014,On n-dependent groups and fields,math.LO
2014,Abstract interpolation problem in generalized Schur classes,math.FA
2014,"Dixmier traces are weak$^*$ dense in the set of all fully symmetric
  traces",math.OA
2014,"The classification of compact simply connected biquotients in dimension
  6 and 7",math.DG
2014,"The expressive power of revised Datalog on problems with closure
  properties",cs.LO
2014,An analytical review of DSPIN-13,hep-ph
2014,"Existence and classification of overtwisted contact structures in all
  dimensions",math.SG
2014,Further Study of Kanenobu Knots,math.GT
2014,"Graphs of order $n$ and diameter $2(n-1)/3$ minimizing the spectral
  radius",math.SP
2014,Admissible Invariants of genus 3 Curves,math.NT
2014,Quadrature domains in $\mathbb C^n$,math.CV
2014,Order complexes of coset posets of finite groups are not contractible,math.CO
2014,Transpose on vertex symmetric digraphs,math.CO
2014,2-local triple derivations on von Neumann algebras,math.OA
2014,Factorizations of certain bivariate polynomials,math.NT
2014,Classification of braces of order $p^3$,math.GR
2014,Solvable Leibniz algebras with triangular nilradical,math.RA
2014,On Semi-Fredholm Band-Dominated Operators,math.FA
2014,A note on arithmetic in finite types,math.LO
2014,Fixed points of a finite subgroup of the plane Cremona group,math.AG
2014,On Approximation constants for Liouville numbers,math.NT
2014,"Parabolically induced unitary representations of the universal group
  U(F)^+ are C_0",math.RT
2014,Higher order self-adjoint operators with polynomial coefficients,math.CA
2014,"The (2,3)-generation of the special unitary groups of dimension 6",math.GR
2014,"Unitary representations of the groups of measurable and continuous
  functions with values in the circle",math.RT
2014,All graphs have tree-decompositions displaying their topological ends,math.CO
2014,Reidemeister-Schreier's Algorithm For 2-Coverings of Seifert Manilfolds,math.GT
2014,Generalizing $p$-goodness to ordered graphs,math.CO
2014,Instantaneous stochastic perturbation theory,hep-lat
2014,"Counting points on curves using a map to P^1, II",math.NT
2014,The cone of Betti tables over three non-collinear points in the plane,math.AC
2015,Maximum Rényi Entropy Rate,cs.IT
2015,A Coherent Perceptron for All-Optical Learning,quant-ph
2015,Convex p-partitions of bipartite graphs,math.CO
2015,"Upper-modular and related elements of the lattice of commutative
  semigroup varieties",math.GR
2015,Real projective space as a space of planar polygons,math.AT
2015,On circular-arc graphs with association schemes,math.CO
2015,Examples of Com-PreLie Hopf algebras,math.RA
2015,"On the (n,k)-th Catalan numbers",math.CO
2015,$N$-Division Points of Hypocycloids,math.NT
2015,Common subfields of p-algebras of prime degree,math.RA
2015,A criterion for dualizing modules,math.AC
2015,"Oscillatory integrals related to Carleson's theorem: fractional
  monomials",math.CA
2015,"Endotrivial modules for the Schur covers of the symmetric and
  alternating groups",math.RT
2015,Non-elementary amenable subgroups of automata groups,math.GR
2015,All-band Bragg solitons and cw eigenmodes,physics.optics
2015,On Panchromatic Patterns,math.CO
2015,Eigenform Product Identities For Hilbert Modular Forms,math.NT
2015,Ramsey numbers of degenerate graphs,math.CO
2015,Polar foliations on quaternionic projective spaces,math.DG
2015,On the fate of $η^3$ in higher analogues of Real bordism,math.AT
2015,On 2-microlocal spaces with all exponents variable,math.FA
2015,Dual Graph Polynomials and a 4-face Formula,math.AG
2015,Commutative Schur Rings Over Symmetric Groups II: The Case n=6,math.GR
2015,Modular forms and some cases of the inverse Galois problem,math.NT
2015,Fixed point theorems for metric spaces with a conical geodesic bicombing,math.MG
2015,On non-periodic and non-dense billiard trajectories Part 1 and Part 2,math.DS
2015,Non-Noetherian generalized Heisenberg algebras,math.RA
2015,"Subcritical behavior for quasi-periodic Schrödinger cocycles with
  trigonometric potentials",math-ph
2015,"On Stickelberger Elements for $\mathbb{Q}(ζ_{p^{n+1}})^+$ and
  $p$-adic $L$-functions",math.NT
2015,"The class $\mathcal{MN}$ of groups in which all maximal subgroups are
  normal",math.GR
2015,A remark on a result of Xia Chen,math.PR
2015,How to prove this polynomial always has integer values at all integers,math.NT
2015,An Erdős--Hajnal analogue for permutation classes,math.CO
2015,Chain transitive homeomorphisms on a space: all or none,math.DS
2015,"Finalizing the classification of type II or more special Einstein
  spacetimes in five dimensions",gr-qc
2015,Positive braid knots of maximal topological 4-genus,math.GT
2015,"Computing all elliptic curves over an arbitrary number field with
  prescribed primes of bad reduction",math.NT
2015,Subdirectly irreducible medial quandles,math.RA
2015,Fractional Integral and Derivative of the 1/r Potential,physics.gen-ph
2015,Renormalizability of the Schrödinger Functional,hep-lat
2015,"Jordan triple product homomorphisms on Hermitian matrices of dimension
  two",math.RA
2015,Real and complex Waring rank of reducible cubic forms,math.AC
2016,Addendum to Pentapods with Mobility 2,cs.RO
2016,Spin structures of flat manifolds of diagonal type,math.AT
2016,Nontrivial nuciferous graphs exist,math.CO
2016,"The inductive blockwise Alperin weight condition for $G_2(q)$ and
  $^3D_4(q)$",math.RT
2016,Two-loop five-point all plus helicity Yang-Mills amplitude,hep-th
2016,"Derivations of the Lie algebra of strictly block upper triangular
  matrices",math.RT
2016,"A bound on the expected number of random elements to generate a finite
  group all of whose Sylow subgroups are d-generated",math.GR
2016,A harmonic maps approach to fluid flows,math-ph
2016,Aliquot sequences with small starting values,math.NT
2016,Weak-mixing polygonal billiards,math.DS
2016,The two-loop n-point all-plus helicity amplitude,hep-th
2016,Hodge Numbers for All CICY Quotients,hep-th
2016,Fair division with divisible and indivisible items,q-fin.EC
2016,"Bounds on the number of conjugacy classes of the symmetric and
  alternating groups",math.GR
2016,Sum of two repdigits a square,math.NT
2016,Nearly neighbourly families of standard boxes,math.CO
2016,"Quantizing Mishchenko-Fomenko subalgebras for centralizers via affine
  W-algebras",math.RT
2016,Lorentzian manifolds with transitive conformal group,math.DG
2016,On the quasi-$\mathfrak{F}$-hypercenter of a finite group,math.GR
2016,Hypergroups and Quantum Bessel Processes of Non-integer Dimensions,math.PR
2016,Digit Statistics of the First 22.4 Trillion Decimal Digits of Pi,math.NT
2016,"Multi-Purpose Binomial Model: Fitting all Moments to the Underlying
  Geometric Brownian Motion",q-fin.PR
2016,"Complemented basic sequences in Frechet spaces with finite dimensional
  decomposition",math.FA
2017,Shepherdson's theorems for fragments of open induction,math.LO
2017,New Braided $T$-Categories over Hopf (co)quasigroups,math.QA
2017,On degenerations of algebras over an arbitrary field,math.RA
2017,Leader Election in Trees with Customized Advice,cs.DC
2017,On hyperballeans of bounded geometry,math.GN
2017,Hajós-like theorem for signed graphs,math.CO
2017,Rational Conjugacy Classes of Maximal Tori In Groups of Type $D_n$,math.GR
2017,All finite solvable groups satisfy the Taketa inequality,math.GR
2017,"An efficient data structure for counting all linear extensions of a
  poset, calculating its jump number, and the likes",cs.DS
2017,New self-dual codes of length 72,cs.IT
2017,Regularization of plurisubharmonic functions with a net of good points,math.DG
2017,Balanced vertices in labeled rooted trees,math.CO
2017,Analysis of EUV Solar Spectrum with Gravity Induced Resonant Emission,astro-ph.SR
2017,A multiplier inclusion theorem on product domains,math.CA
2017,"On the directed Oberwolfach Problem with equal cycle lengths: the odd
  case",math.CO
2017,Minimal embeddings of small finite groups,math.GR
2017,"All properly ergodic Markov chains over a free group are orbit
  equivalent",math.DS
2017,Doubly exponentially many Ingleton matroids,math.CO
2017,The Complex of Non-Chromatic Scales,math.AT
2017,Hyperbolicity of singular spaces,math.AG
2017,A class of integral graphs constructed from the hypercube,math.GR
2017,Ziegler Spectra of Serial Rings,math.LO
2017,Mod $p$ Hilbert modular forms of parallel weight one: the ramified case,math.NT
2017,"Affine Self-similar solutions of the affine curve shortening flow I: The
  degenerate case",math.DG
2018,Lagrange stability for impulsive Duffing equations,math.DS
2018,Degenerations of Leibniz and anticommutative algebras,math.RA
2018,"Torsion groups of elliptic curves over the $\mathbb Z_p$-extensions of
  $\mathbb Q$",math.NT
2018,On the distribution of polynomial discriminants: totally real case,math.NT
2018,Equilateral sets in the $\ell_1$ sum of Euclidean spaces,math.MG
2018,"Zeros of certain weakly holomorphic modular forms for the Fricke group
  $Γ_0^+(3)$",math.NT
2018,"Odd-dimensional orbifolds with all geodesics closed are covered by
  manifolds",math.DG
2019,"Minimum degree conditions for the existence of cycles of all lengths
  modulo $k$ in graphs",math.CO
2019,"The set of numerical semigroups of a given multiplicity and Frobenius
  number",math.GR
2019,Higher weight spectra of Veronese codes,math.CO
2019,A Note on the Orderability of Dehn Fillings of the Manifold $v2503$,math.GT
2019,Rationally elliptic toric varieties,math.AG
2019,Arestov's theorems on Bernstein's inequality,math.CV
2019,All modular forms of weight 2 can be expressed by Eisenstein series,math.NT
2019,Hyperbolic knots are not generic,math.GT
2019,A relation between log-likelihood and cross-validation log-scores,stat.ME
2019,$K_4$-free character graphs with seven vertices,math.GR
2019,Knots with Prism Manifold Surgeries,math.GT
2019,"$\mathrm{P}\ne\mathrm{NP}$ and All Non-Empty Sets in
  $\mathrm{NP}\cup\mathrm{coNP}$ Have P-Optimal Proof Systems Relative to an
  Oracle",cs.CC
2019,"Preserve one, preserve all",math.DG
2019,Relative Generalized Hamming weights of affine Cartesian codes,cs.IT
2019,"On vanishing of all fourfold products of the Ray classes in symplectic
  cobordism",math.AT
2019,Integral Quadratic Forms Avoiding Arithmetic Progressions,math.NT
2019,On the computation of overorders,math.NT
2019,"Quasi-Assouad dimensions for random measures supported on $[0,1]^d$",math.MG
2019,"Infinitely presented stable groups and invariant random subgroups of
  metabelian groups",math.GR
2019,Standard elements of the lattice of monoid varieties,math.GR
2020,"Every graph contains a linearly sized induced subgraph with all degrees
  odd",math.CO
2020,On a conjecture of Montgomery and Soundararajan,math.NT
2020,"Relative Reshetikhin-Turaev invariants, hyperbolic cone metrics and
  discrete Fourier transforms II",math.GT
2020,On the cohomology of Lie algebras with an invariant inner product,math.RT
2020,"On finite groups with all simple modules of low dimension in
  characteristic p",math.GR
2020,Geometric inequalities and rigidity of gradient shrinking Ricci solitons,math.DG
2020,"Lipschitz neural networks are dense in the set of all Lipschitz
  functions",stat.ML
2008,Transfer in multi-theme opinion dynamics of Deffuant et al,physics.soc-ph
2008,Schwarz Lemma for the tetrablock,math.CV
2011,A catalogue of small regular matroids and their Tutte polynomials,math.CO
2011,Cosmetic crossings of genus one knots,math.GT
2011,Classification of Simple Lie Algebras on a Lattice,math.RT
2011,On augmented eccentric connectivity index of graphs and trees,math.CO
2011,Computing q-gram Frequencies on Collage Systems,cs.DS
2011,"Comment on ""Cryptanalysis and improvement of multiparty quantum secret
  sharing schemes""",quant-ph
2015,Gaps Between Almost-Primes and a Construction of Almost-Ramanujan Graphs,math.CO
2015,"Sub-wavelength terahertz beam profiling of a THz source via an
  all-optical knife-edge technique",physics.optics
2015,The case for superelliptic curves,math.AG
2015,The stable subset of a univalent self-map,math.CV
2015,Integrable potentials on Cayley-Klein spaces from quantum groups,math-ph
2015,"Simple transitive $2$-representations and Drinfeld center for some
  finitary $2$-categories",math.RT
2015,Quotient-polynomial graphs,math.CO
2015,"Almost partitioning a 3-edge-coloured $K_{n,n}$ into 5 monochromatic
  cycles",math.CO
2015,Divisionally free Restrictions of Reflection Arrangements,math.CO
2015,A problem in Pythagorean Arithmetic,math.LO
2015,Full Degree Two del Pezzo Surfaces over Small Finite Fields,math.AG
2016,"An infinite presentation for the mapping class group of a non-orientable
  surface",math.GT
2016,On the Lebesgue nonlinear transformations,math.DS
2016,Lines on quartic surfaces,math.AG
2016,The graphs with all but two eigenvalues equal to $-2$ or $0$,math.CO
2016,"The structure of projective indecomposable modules for $A_n$, $n\leq 12$",math.RT
2016,Mesoscopic central limit theorem for general $β$-ensembles,math.PR
2016,Two-loop six gluon all plus helicity amplitude,hep-th
2016,2015 Update of the Discoveries of Isotopes,nucl-ex
2016,Evolution of moments of isotropic Brownian stochastic flows,math.PR
2016,"Reconstruction theorems for semigroups of functions which contain all
  transpositions of a set and for clones with the same property",math.LO
2016,Analogues of Jacobi's derivative formula III,math.CA
2016,One-loop gravity divergences in D>4 cannot all be removed,gr-qc
2016,Structural characterization of Cayley graphs,cs.DM
2016,"A Linear Acceleration Theorem for 2D Cellular Automata on all Complete
  Neighborhoods",cs.FL
2016,Complete Nevanlinna-Pick kernels,math.FA
2016,Hamilton Cycles in Double Generalized Petersen Graphs,math.CO
2016,Vacua Morghulis,hep-th
2016,"Subgraphs with large minimum $\ell$-degree in hypergraphs where almost
  all $\ell$-degrees are large",math.CO
2017,The Game of Blocking Pebbles,math.CO
2017,A variation on bisecting the binomial coefficients,math.CO
2017,A remark on Yoneda's Lemma,math.CT
2017,"All-Possible-Worlds: Unifying Many-Worlds and Copenhagen, in the Light
  of Quantum Contextuality",quant-ph
2017,Imaginary Multiquadratic Fields of Class Number Dividing $2^m$,math.NT
2017,Pentagons in triangle-free graphs,math.CO
2017,Embedding all contact 3-manifolds in a fixed contact 5-manifold,math.GT
2018,"On operators on $C_0(α\times L)$ under the Ostaszewski's
  $\clubsuit$-principle",math.FA
2018,Every classifiable simple C*-algebra has a Cartan subalgebra,math.OA
2018,Arf good semigroups with fixed genus,math.AC
2018,"Pointed Closed Convex Sets are the Intersection of All Rational
  Supporting Closed Halfspaces",math.OC
2018,"Improved Upper Bounds on all Maximal $α$-gapped Repeats and
  Palindromes",cs.FL
2018,On reflexive simple modules in Artin algebras,math.RT
2018,Imaginary quadratic number fields with class groups of small exponent,math.NT
2018,Limiting probabilities for vertices of a given rank in rooted trees,math.CO
2018,Cancellable elements of the lattice of epigroup varieties,math.GR
2018,"Finding all Borcherds product paramodular cusp forms of a given weight
  and level",math.NT
2018,"Comment on ""Scaling advantages of all-to-all connectivity in physical
  annealers: the Coherent Ising Machine vs D-Wave 2000Q"" [arXiv:1805.05217]",quant-ph
2018,"Characterization of digital $(0,m,3)$-nets and digital $(0,2)$-sequences
  in base $2$",math.NT
2018,Three qubit separable states of length ten with unique decompositions,quant-ph
2018,Ricci-flat graphs with girth four,math.CO
2018,Computer Vision-aided Atom Tracking in STEM Imaging,cs.CV
2018,Hypergraph expanders of all uniformities from Cayley graphs,math.CO
2018,Fraisse classes of graded relational structures,math.LO
2019,"Arc-transitive graphs of valency twice a prime admit a semiregular
  automorphism",math.CO
2018,"Vision Zero: on a Provable Method for Eliminating Roadway Accidents
  without Compromising Traffic Throughput",cs.RO
2019,A Report on Hausdorff Compactifications of $\mathbb{R}$,math.GN
2019,Almost 2-universal diagonal quinary quadratic forms,math.NT
2019,"The Special Aronszajn Tree Property at $κ^+$ and $\square_{κ,
  2}$",math.LO
2019,Colliding pulse mode-locked all polarization maintaining fiber gyrolaser,physics.optics
2019,The variety defined by the matrix of diagonals is $F$-pure,math.AC
2019,All Known Principal Congruence Links,math.GT
2019,A systematic classification of knotoids on the plane and on the sphere,math.GT
2019,Generic representations of metaplectic groups and their theta lifts,math.RT
2019,Quartic graphs which are Bakry-Émery curvature sharp,math.CO
2019,"Cyclic pentagons and hexagons with integer sides, diagonals and areas",math.NT
2022,"The space of all triples of projective lines of distinct intersections
  in $\mathbb{RP}^n$",math.AT
2022,Survey of hyperfine structure measurements in alkali atoms,physics.atom-ph
2022,Bounds for moments of symmetric square $L$-functions,math.NT
2022,Orphan Calabi-Yau threefold with arithmetic monodromy group,math.AG
2022,"Recover all Coefficients in Second-Order Hyperbolic Equations from
  Finite Sets of Boundary Measurements",math.AP
2022,Communication between agents in dynamic epistemic logic,cs.LO
2022,Public Good Provision with a Distributor,econ.TH
2022,Coarse cubical rigidity,math.GR
2022,"On the enumeration of leaf-labelled increasing trees with arbitrary
  node-degree",q-bio.PE
2022,Massless spin 2 interacting with massive higher spins in d=3,hep-th
2022,"Invariant Smooth Quartic Surfaces by all Finite Primitive Groups of
  $\operatorname{PGL}_4(\mathbb{C})$",math.AG
2022,The Delannoy category,math.RT
2022,"The generalized Giambelli formula and polynomial KP and CKP
  tau-functions",math-ph
2022,"The hyperspace of non-blockers of singletons, all the possible examples",math.GN
2023,"A variety of globally stable periodic orbits in permutation binary
  neural networks",math.DS
2023,Almost Repdigits in $ k-$generalized Lucas Sequences,math.NT
2023,Some generalized Jordan maps on triangular rings force additivity,math.RA
2023,On Abelian Groups Having All Proper Characteristic Subgroups Isomorphic,math.RA
2023,The Optimality of Constant Mark-Up Pricing,econ.TH
2023,"A note on ""On the classification of Landsberg spherically symmetric
  Finsler metrics""",math.DG
2023,Additivity of multiplicative (generalized) maps over rings,math.RA
2023,"All-genus WDVV recursion, quivers, and BPS invariants",math.AG
2023,"Exact solutions of Maxwell equations in homogeneous spaces with the
  group of motions $G_3(VIII)$",gr-qc
2023,Gaussian almost primes in almost all narrow sectors,math.NT
2023,Extreme values of Dirichlet polynomials with multiplicative coefficients,math.NT
2023,Dual-Attention Model for Aspect-Level Sentiment Classification,cs.CL
2023,Entanglement Resolution with Respect to Conformal Symmetry,hep-th
2023,Stable blowup for focusing semilinear wave equations in all dimensions,math.AP
2023,Convergence of impact measures and impact bundles,math.GM
2023,Vertex cover ideals of simplicial complexes,math.AC
2023,"Exponential mixing of all orders and CLT for automorphisms of compact
  K{ä}hler manifolds",math.CV
2023,Regularity of powers of path ideals of line graphs,math.AC
2023,Discrete Two Player All-Pay Auction with Complete Information,cs.GT
2023,Deep and Fast Approximate Order Independent Transparency,cs.GR
2023,All-order celestial OPE from on-shell recursion,hep-th
2023,Clustering and Arnoux-Rauzy words,math.DS
2023,A Generalization of the Graham-Pollak Tree Theorem to Steiner Distance,math.CO
2023,$k$-positivity and Schmidt number under orthogonal group symmetries,quant-ph
2023,The minima of the geodesic length functions of uniform filling curves,math.GT
2023,Extremal results on the Mostar index of trees with fixed parameters,math.CO
2023,Invariant systems of weighted representatives,math.CO
2023,"Superfloccinaucinihilipilification: Semisimple unifications of any gauge
  theory",hep-ph
2023,On rings whose prime ideal sum graphs are line graphs,math.CO
2023,Universal `winner-takes-it-all' phenomenon in scale-free random graphs,math.PR
2023,"Simplices with fixed volumes of codimension 2 faces in a continuous
  deformation",math.MG
2023,Finite braid group orbits on $SL_2$-character varieties,math.AG
2023,"Hom-associative magmas with applications to Hom-associative magma
  algebras",math.RA
2023,Ideally exact categories,math.CT
2023,Connectivity of Markoff mod-p graphs and maximal divisors,math.NT
2023,Geodetic Graphs: Experiments and New Constructions,math.CO
2023,Rational Representations and Rational Group Algebra of VZ p-groups,math.RT
2023,"Noncommutative tensor triangular geometry: classification via noetherian
  spectra",math.CT
2023,A Note on Hamiltonian-Intersecting Families of Graphs,math.CO
2023,Non-integer characterizing slopes and knot Floer homology,math.GT
2023,All-charm tetraquark mass and possible quantum numbers of X(6900),hep-ph
2023,"Verdier quotients of homotopy categories of rings and
  Gorenstein-projective precovers",math.RA
2023,Massive Type IIB Superstrings Part I: 3- and 4-Point Amplitudes,hep-th
2023,All orders factorization and the Coulomb problem,hep-ph
2023,"The Nash-Williams orientation theorem for graphs with countably many
  ends",math.CO
2023,Pell and Pell-Lucas numbers as difference of two repdigits,math.NT
2023,Zarankiewicz numbers near the triple system threshold,math.CO
2023,Computing random $r$-orthogonal Latin squares,cs.DM
2023,"A characterization of differential operators in the ring of complex
  polynomials",math.CA
2023,Supporting rank and the intersection of all Hassett Divisors,math.AG
2023,"All instances of MONOTONE 3-SAT-(3,1) are satisfiable",cs.CC
2023,Surfaces in The Tesseract,math.GT
2023,"Vertices of the polytope of polystochastic matrices and product
  constructions",math.CO
2023,All-optical measurement of magnetic fields for quantum gas experiments,physics.atom-ph
2023,Confluence Graphs of Unitals,math.CO
2023,On the Congruency-Constrained Matroid Base,math.CO
2023,"Characterization of transmission irregular starlike and double starlike
  trees",math.CO
2023,Every latin hypercube of order 5 has transversals,math.CO
2023,Are All Events Created At-Once in Relational Quantum Mechanics?,quant-ph
2023,"Explicit representations and Azumaya loci of skein algebras of small
  surfaces",math.QA
2023,"Saxl conjecture and the tensor square of unipotent characters of GL(n,q)",math.RT
2023,Beyond Wolstenholme's Theorem,math.NT
2023,Precoloring extension in planar near-Eulerian-triangulations,math.CO
2023,A few new oddtown and eventown problems,math.CO
2023,Bounds on the minimum distance of locally recoverable codes,math.CO
2024,"Theoretical Steps to Optimize Transportation in the Cubic Networks and
  the Congestion Paradox",econ.TH
2024,Complexity of equal 0-surgeries,math.GT
2024,"Almost all even-particle pure states are determined by their half-body
  marginals",quant-ph
2024,On Signs of Hecke eigenvalues of Ikeda lifts,math.NT
2024,Basic Tetravalent Oriented Graphs with Cyclic Normal Quotients,math.CO
2024,Attack tree metrics are operad algebras,cs.CR
2024,Secure Multi-hop Telemetry Broadcasts for UAV Swarm Communication,cs.CR
2024,Finitely many implies infinitely many,math.CO
2024,New Branching Formulae for Classical Groups and Relations among them,math.RT
2024,Is 3-(F)WL Enough to Distinguish All 3D Graphs?,cs.OH
2024,A reduction theorem for the Character Triple Conjecture,math.RT
2024,"Generating Plane Quadrangulations and Symmetry-preserving Operations on
  Maps",math.CO
2024,Fine Mixed Subdivisions of a Dilated Triangle,math.CO
2024,All electrical cooling of an optically levitated nanoparticle,quant-ph
2024,"Ensemble-Based Unsupervised Discontinuous Constituency Parsing by Tree
  Averaging",cs.CL
2024,Sharp bounds for joint moments of the Riemann zeta function,math.NT
2024,Distance magic labelings of Cartesian products of cycles,math.CO
2024,Winner-Pays-Bid Auctions Minimize Variance,cs.GT
2024,Multilevel Dyson Brownian motions via the superposition principle,math.PR
2024,"On the solution existence for collocation discretizations of
  time-fractional subdiffusion equations",math.NA
2024,Spaces with Vanishing Characteristic Coefficients,math.RA
2024,Counting induced subgraphs with the Kromatic symmetric function,math.CO
2024,Linearly stable self-similar solutions of semilinear heat equations,math.AP
2024,On generalizations of Iwasawa's theorem,math.GR
2024,Quantifying Uncertainty: All We Need is the Bootstrap?,stat.ME
2024,"A simplified proof of the CSP Dichotomy Conjecture and XY-symmetric
  operations",cs.CC
2024,Farkas' Lemma and Complete Indifference,econ.TH
2024,Acylindrical hyperbolicity for Artin groups with a visual splitting,math.GR
2024,On monoids of metric preserving functions,math.GN
2024,"The Andoni-Naor-Neiman inequalities and isometric embeddability into a
  $\mathrm{CAT}(0)$ space",math.MG
2024,Spectral shift functions of all orders,math.FA
2024,"Sufficient conditions for total positivity, compounds, and Dodgson
  condensation",math.CO
2024,Colocalizing subcategories on schemes,math.AG
2024,On Concatenations of Two $ k $-Generalized Fibonacci Numbers,math.GM
2024,On line upper ideal relation graphs of rings,math.CO
2024,On the Problem of Separating Variables in Multivariate Polynomial Ideals,cs.SC
2024,"Projected Augmented Wave (PAW) Method with multiple pseudo statesmapped
  onto the same all electron wavefunction",cond-mat.other
2002,"Radio Sources in Low-Luminosity Active Galactic Nuclei. III. ""AGNs"" in a
  Distance-Limited Sample of ""LLAGNs""",astro-ph
2001,"Straight way to Thermo-Statistics, Phase Transitions, Second Law of
  Thermodynamics, but without Thermodynamic Limit",cond-mat.stat-mech
1999,"Space-Efficient Routing Tables for Almost All Networks and the
  Incompressibility Method",cs.DC
2003,All-orders infrared freezing of observables in perturbative QCD,hep-ph
1998,Calogero-Moser Models: A New Formulation,hep-th
1998,Multi-Leg One-Loop Gravity Amplitudes from Gauge Theory,hep-th
2003,Holes in I^n,math.AG
2004,Algebra of dimension theory,math.AT
2006,On the universality of some Smarandache loops of Bol-Moufang type,math.GM
2007,Norm and Numerical Peak Holomorphic Functions on Banach Spaces,math.FA
2007,Sampling Lissajous and Fourier knots,math.GT
2007,"On a reduction procedure for Horn inequalities in finite von Neumann
  algebras",math.OA
2008,Scale invariability,physics.gen-ph
2009,Mapping all classical spin models to a lattice gauge theory,quant-ph
2010,"Mid-infrared optical parametric amplifier using silicon nanophotonic
  waveguides",physics.optics
